ImageId,Label
1,2
2,0
3,9
4,9
5,2
6,7
7,0
8,2
9,0
10,2
11,6
12,7
13,7
14,0
15,4
16,5
17,2
18,2
19,9
20,0
21,9
22,2
23,2
24,6
25,7
26,4
27,2
28,7
29,7
30,7
31,7
32,6
33,4
34,2
35,7
36,2
37,6
38,6
39,2
40,7
41,7
42,7
43,4
44,9
45,9
46,7
47,9
48,8
49,7
50,2
51,7
52,9
53,9
54,2
55,9
56,2
57,2
58,2
59,2
60,0
61,4
62,2
63,7
64,0
65,0
66,0
67,2
68,9
69,0
70,2
71,7
72,6
73,9
74,9
75,2
76,9
77,2
78,9
79,2
80,2
81,6
82,9
83,2
84,0
85,9
86,2
87,4
88,2
89,7
90,7
91,2
92,0
93,7
94,7
95,2
96,4
97,2
98,9
99,7
100,4
101,0
102,7
103,2
104,0
105,7
106,2
107,0
108,6
109,0
110,9
111,7
112,0
113,2
114,8
115,2
116,7
117,2
118,2
119,2
120,2
121,2
122,7
123,2
124,7
125,7
126,2
127,9
128,7
129,7
130,4
131,5
132,6
133,7
134,0
135,0
136,0
137,2
138,2
139,6
140,8
141,4
142,2
143,4
144,6
145,6
146,9
147,7
148,7
149,2
150,9
151,4
152,2
153,6
154,7
155,6
156,2
157,7
158,6
159,7
160,9
161,2
162,0
163,4
164,6
165,2
166,7
167,7
168,7
169,5
170,0
171,2
172,7
173,9
174,7
175,2
176,2
177,7
178,2
179,2
180,2
181,4
182,8
183,2
184,2
185,4
186,9
187,2
188,2
189,7
190,0
191,7
192,2
193,4
194,7
195,7
196,0
197,9
198,7
199,7
200,9
201,2
202,9
203,0
204,9
205,9
206,0
207,9
208,4
209,7
210,2
211,0
212,9
213,2
214,7
215,7
216,2
217,2
218,7
219,2
220,4
221,2
222,2
223,2
224,0
225,2
226,2
227,2
228,7
229,2
230,0
231,0
232,4
233,9
234,2
235,7
236,4
237,2
238,7
239,9
240,7
241,9
242,7
243,2
244,8
245,6
246,6
247,9
248,8
249,2
250,8
251,9
252,7
253,2
254,2
255,9
256,4
257,6
258,2
259,4
260,2
261,7
262,2
263,7
264,6
265,7
266,0
267,7
268,9
269,7
270,2
271,7
272,0
273,7
274,2
275,9
276,8
277,2
278,6
279,9
280,4
281,0
282,9
283,2
284,0
285,6
286,2
287,7
288,8
289,9
290,9
291,6
292,7
293,7
294,9
295,9
296,7
297,2
298,0
299,2
300,2
301,7
302,9
303,9
304,2
305,7
306,2
307,7
308,2
309,4
310,6
311,9
312,6
313,9
314,0
315,0
316,4
317,9
318,4
319,2
320,9
321,4
322,2
323,2
324,9
325,9
326,4
327,6
328,2
329,7
330,2
331,7
332,2
333,2
334,4
335,0
336,9
337,0
338,2
339,7
340,0
341,7
342,2
343,2
344,9
345,7
346,0
347,7
348,6
349,2
350,4
351,7
352,7
353,7
354,2
355,2
356,9
357,9
358,9
359,2
360,2
361,4
362,7
363,2
364,9
365,9
366,2
367,2
368,9
369,2
370,7
371,4
372,9
373,9
374,9
375,7
376,7
377,9
378,6
379,2
380,7
381,7
382,6
383,6
384,8
385,2
386,7
387,2
388,2
389,2
390,7
391,2
392,7
393,7
394,9
395,7
396,2
397,2
398,2
399,7
400,2
401,9
402,7
403,7
404,2
405,2
406,2
407,7
408,2
409,8
410,6
411,6
412,0
413,4
414,2
415,2
416,9
417,2
418,2
419,2
420,6
421,9
422,7
423,7
424,4
425,2
426,2
427,4
428,7
429,4
430,7
431,4
432,9
433,6
434,2
435,2
436,2
437,2
438,9
439,6
440,0
441,9
442,4
443,7
444,4
445,2
446,4
447,2
448,6
449,2
450,9
451,4
452,7
453,7
454,9
455,6
456,9
457,2
458,2
459,7
460,7
461,8
462,7
463,6
464,0
465,6
466,2
467,7
468,4
469,4
470,2
471,2
472,4
473,9
474,6
475,7
476,0
477,2
478,2
479,2
480,0
481,4
482,9
483,2
484,2
485,7
486,9
487,4
488,9
489,2
490,7
491,7
492,4
493,2
494,4
495,2
496,7
497,9
498,2
499,2
500,0
501,7
502,6
503,8
504,4
505,2
506,8
507,2
508,2
509,1
510,7
511,7
512,4
513,9
514,7
515,6
516,2
517,7
518,7
519,4
520,2
521,2
522,9
523,0
524,7
525,7
526,2
527,0
528,2
529,2
530,7
531,0
532,6
533,5
534,9
535,2
536,6
537,7
538,6
539,4
540,2
541,0
542,2
543,9
544,2
545,0
546,2
547,0
548,9
549,2
550,2
551,2
552,2
553,0
554,6
555,2
556,0
557,7
558,6
559,7
560,2
561,0
562,2
563,4
564,2
565,7
566,6
567,4
568,2
569,2
570,4
571,2
572,6
573,7
574,7
575,0
576,4
577,7
578,2
579,4
580,2
581,6
582,2
583,4
584,7
585,9
586,2
587,7
588,6
589,9
590,0
591,9
592,9
593,5
594,6
595,2
596,7
597,7
598,7
599,0
600,2
601,2
602,2
603,7
604,2
605,7
606,2
607,9
608,6
609,7
610,4
611,7
612,4
613,2
614,2
615,2
616,4
617,7
618,0
619,0
620,9
621,9
622,6
623,9
624,4
625,0
626,9
627,2
628,7
629,7
630,8
631,7
632,2
633,9
634,7
635,2
636,4
637,7
638,7
639,9
640,2
641,0
642,4
643,9
644,7
645,8
646,8
647,4
648,4
649,2
650,9
651,9
652,9
653,0
654,0
655,9
656,2
657,4
658,2
659,2
660,7
661,2
662,2
663,4
664,0
665,4
666,9
667,2
668,2
669,6
670,7
671,2
672,9
673,4
674,2
675,2
676,7
677,7
678,2
679,7
680,0
681,7
682,9
683,8
684,2
685,2
686,2
687,4
688,7
689,9
690,9
691,2
692,7
693,0
694,2
695,9
696,4
697,2
698,9
699,9
700,9
701,4
702,0
703,2
704,0
705,7
706,0
707,4
708,4
709,7
710,6
711,6
712,9
713,2
714,6
715,9
716,7
717,2
718,2
719,7
720,9
721,9
722,2
723,2
724,0
725,2
726,8
727,7
728,2
729,7
730,6
731,7
732,2
733,2
734,2
735,7
736,7
737,2
738,8
739,2
740,6
741,4
742,4
743,2
744,4
745,2
746,9
747,2
748,7
749,9
750,7
751,4
752,9
753,4
754,2
755,2
756,2
757,7
758,2
759,2
760,9
761,7
762,0
763,4
764,0
765,4
766,0
767,0
768,8
769,2
770,9
771,7
772,6
773,0
774,2
775,6
776,2
777,4
778,7
779,2
780,2
781,2
782,7
783,4
784,9
785,2
786,6
787,6
788,2
789,4
790,8
791,6
792,0
793,4
794,0
795,4
796,2
797,2
798,7
799,9
800,7
801,2
802,2
803,2
804,5
805,2
806,4
807,9
808,7
809,9
810,2
811,6
812,9
813,2
814,2
815,4
816,4
817,0
818,9
819,7
820,4
821,2
822,0
823,6
824,0
825,2
826,9
827,0
828,4
829,6
830,2
831,9
832,6
833,6
834,9
835,2
836,9
837,7
838,2
839,7
840,2
841,2
842,9
843,0
844,9
845,4
846,7
847,7
848,2
849,7
850,6
851,9
852,9
853,7
854,7
855,2
856,8
857,2
858,2
859,4
860,6
861,0
862,4
863,2
864,4
865,2
866,2
867,7
868,9
869,2
870,2
871,4
872,6
873,4
874,2
875,4
876,2
877,2
878,2
879,0
880,2
881,4
882,4
883,2
884,2
885,2
886,7
887,2
888,6
889,4
890,9
891,2
892,7
893,7
894,0
895,4
896,2
897,9
898,4
899,2
900,2
901,6
902,2
903,6
904,7
905,9
906,7
907,9
908,2
909,2
910,7
911,2
912,0
913,4
914,8
915,2
916,2
917,4
918,7
919,2
920,7
921,7
922,2
923,6
924,9
925,4
926,7
927,9
928,8
929,7
930,2
931,2
932,2
933,2
934,4
935,7
936,2
937,7
938,7
939,9
940,6
941,7
942,2
943,7
944,2
945,0
946,9
947,2
948,2
949,9
950,2
951,7
952,7
953,6
954,2
955,2
956,2
957,9
958,2
959,0
960,2
961,7
962,9
963,4
964,0
965,7
966,6
967,2
968,9
969,9
970,6
971,2
972,2
973,8
974,7
975,7
976,0
977,9
978,0
979,7
980,4
981,6
982,9
983,7
984,9
985,7
986,7
987,0
988,6
989,2
990,2
991,2
992,9
993,0
994,7
995,9
996,2
997,7
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,7
1005,2
1006,2
1007,4
1008,7
1009,2
1010,9
1011,2
1012,7
1013,2
1014,7
1015,2
1016,7
1017,2
1018,2
1019,4
1020,4
1021,4
1022,9
1023,9
1024,7
1025,2
1026,7
1027,2
1028,6
1029,6
1030,2
1031,9
1032,2
1033,9
1034,9
1035,4
1036,6
1037,2
1038,6
1039,2
1040,0
1041,2
1042,7
1043,2
1044,9
1045,2
1046,2
1047,7
1048,7
1049,7
1050,7
1051,2
1052,7
1053,2
1054,6
1055,9
1056,2
1057,2
1058,2
1059,7
1060,6
1061,0
1062,0
1063,7
1064,0
1065,9
1066,4
1067,7
1068,0
1069,6
1070,9
1071,8
1072,9
1073,9
1074,7
1075,9
1076,2
1077,7
1078,2
1079,2
1080,9
1081,2
1082,0
1083,2
1084,8
1085,7
1086,7
1087,7
1088,7
1089,2
1090,2
1091,2
1092,2
1093,0
1094,2
1095,7
1096,7
1097,6
1098,2
1099,7
1100,2
1101,4
1102,2
1103,9
1104,2
1105,9
1106,2
1107,0
1108,7
1109,4
1110,7
1111,7
1112,2
1113,4
1114,2
1115,0
1116,7
1117,2
1118,7
1119,5
1120,9
1121,9
1122,6
1123,4
1124,2
1125,7
1126,2
1127,4
1128,7
1129,2
1130,2
1131,0
1132,6
1133,9
1134,0
1135,2
1136,7
1137,9
1138,7
1139,7
1140,7
1141,2
1142,0
1143,2
1144,2
1145,2
1146,9
1147,4
1148,5
1149,6
1150,2
1151,6
1152,7
1153,7
1154,4
1155,8
1156,4
1157,9
1158,2
1159,9
1160,0
1161,9
1162,2
1163,8
1164,0
1165,7
1166,4
1167,2
1168,2
1169,4
1170,6
1171,8
1172,2
1173,9
1174,2
1175,9
1176,2
1177,4
1178,7
1179,2
1180,6
1181,2
1182,9
1183,9
1184,9
1185,0
1186,7
1187,0
1188,2
1189,7
1190,9
1191,7
1192,2
1193,2
1194,9
1195,9
1196,9
1197,2
1198,2
1199,2
1200,4
1201,4
1202,9
1203,2
1204,0
1205,2
1206,7
1207,9
1208,7
1209,4
1210,2
1211,2
1212,4
1213,9
1214,4
1215,6
1216,9
1217,4
1218,8
